gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,No,No,50,Yes,Fiber optic,One year,No,Credit card (automatic),114.35,5791.1,0
Female,0,Yes,No,2,Yes,DSL,Month-to-month,Yes,Credit card (automatic),44.6,80.55,1
Female,1,Yes,No,29,No,DSL,Month-to-month,Yes,Electronic check,45,1228.65,0
Male,1,Yes,No,57,Yes,Fiber optic,Month-to-month,Yes,Electronic check,89.85,4925.35,0
Female,0,No,No,31,No,DSL,Two year,Yes,Bank transfer (automatic),49.85,1520.1,0
Female,0,Yes,No,45,Yes,Fiber optic,One year,No,Mailed check,113.3,5032.25,0
Female,1,No,No,19,Yes,Fiber optic,Month-to-month,Yes,Mailed check,105,2007.25,0
Male,0,No,No,59,Yes,No,Two year,No,Mailed check,19.35,1099.6,1
Female,0,Yes,No,71,Yes,No,Two year,Yes,Credit card (automatic),24.25,1732.95,0
Female,1,No,No,16,Yes,Fiber optic,Month-to-month,Yes,Electronic check,94.45,1511.2,1
Male,0,No,No,1,No,DSL,Month-to-month,No,Bank transfer (automatic),24.8,24.8,1
Male,1,Yes,No,20,Yes,Fiber optic,Month-to-month,No,Electronic check,107.05,2172.05,0
Male,0,No,No,1,Yes,Fiber optic,Month-to-month,No,Mailed check,70.6,70.6,1
Female,0,No,No,5,Yes,DSL,Month-to-month,No,Bank transfer (automatic),50.55,244.75,0
Female,0,No,Yes,1,Yes,No,Month-to-month,No,Mailed check,25.4,25.4,0
Female,0,No,No,68,Yes,DSL,Month-to-month,No,Mailed check,54.45,3687.75,0
Female,0,No,No,22,Yes,Fiber optic,One year,Yes,Credit card (automatic),76,1783.6,0
Female,0,No,No,20,Yes,DSL,Month-to-month,Yes,Electronic check,44.35,927.15,0
Male,0,No,No,10,Yes,DSL,Month-to-month,Yes,Credit card (automatic),44.85,435.4,1
Male,1,No,No,24,Yes,Fiber optic,Month-to-month,Yes,Electronic check,76.1,1712.7,1
Male,0,Yes,Yes,23,Yes,Fiber optic,One year,No,Mailed check,86.8,1940.8,0
Female,1,No,No,6,Yes,Fiber optic,Month-to-month,Yes,Electronic check,89.35,567.8,0
Female,0,Yes,Yes,71,Yes,Fiber optic,Two year,No,Electronic check,76.05,5436.45,0
Male,1,Yes,No,35,Yes,Fiber optic,Month-to-month,Yes,Electronic check,100.8,3437.5,0
Male,0,Yes,Yes,40,Yes,DSL,Month-to-month,Yes,Electronic check,74.55,3015.75,0
Male,0,No,No,23,Yes,DSL,One year,Yes,Bank transfer (automatic),64.9,1509.8,0
Female,1,No,No,4,Yes,Fiber optic,Month-to-month,Yes,Electronic check,95.45,396.1,1
Female,0,Yes,Yes,68,No,DSL,Two year,No,Credit card (automatic),60.3,4109,0
Male,0,Yes,Yes,52,Yes,No,Two year,No,Mailed check,24.8,1229.1,0
Male,1,Yes,No,32,Yes,Fiber optic,Month-to-month,Yes,Electronic check,74.9,2303.35,1
Male,0,Yes,Yes,29,Yes,DSL,Two year,No,Mailed check,75.55,2054.4,0
Female,0,No,No,1,Yes,No,Month-to-month,Yes,Bank transfer (automatic),19.25,19.25,0
Female,0,No,No,43,Yes,Fiber optic,Two year,No,Credit card (automatic),115.05,4895.1,0
Female,1,Yes,No,5,Yes,Fiber optic,Month-to-month,Yes,Electronic check,69.35,341.6,0
Male,0,No,No,71,Yes,No,Two year,Yes,Credit card (automatic),19.9,1355.1,0
Male,1,Yes,No,24,Yes,Fiber optic,Month-to-month,Yes,Electronic check,93.15,2231.05,1
Female,1,No,No,54,Yes,DSL,One year,No,Bank transfer (automatic),82.45,4350.1,1
Female,0,Yes,Yes,72,No,DSL,Two year,Yes,Electronic check,60,4264,0
Male,0,No,No,1,Yes,DSL,Month-to-month,Yes,Electronic check,44.8,44.8,0
Male,0,No,No,69,No,DSL,Two year,Yes,Bank transfer (automatic),60.05,4176.7,0
Female,1,Yes,No,11,Yes,Fiber optic,Month-to-month,Yes,Electronic check,82.9,880.05,0
Female,1,Yes,Yes,28,No,DSL,Month-to-month,Yes,Electronic check,35.9,973.65,0
Female,1,No,No,17,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),82.65,1470.05,0
Female,0,No,No,7,Yes,Fiber optic,Month-to-month,Yes,Electronic check,73.85,511.25,1
Male,0,Yes,Yes,68,Yes,DSL,One year,Yes,Bank transfer (automatic),75.8,5293.95,1
Female,0,No,No,43,Yes,Fiber optic,Two year,Yes,Electronic check,104.6,4759.85,1
Female,0,No,No,68,Yes,DSL,Two year,Yes,Electronic check,88.15,6148.45,0
Female,0,No,No,36,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),94.8,3565.65,0
Female,1,No,No,32,Yes,DSL,Month-to-month,No,Bank transfer (automatic),54.65,1830.1,0
Female,0,Yes,Yes,66,Yes,DSL,Month-to-month,Yes,Bank transfer (automatic),67.45,4508.65,0
Male,0,No,No,63,Yes,No,One year,No,Mailed check,20.5,1328.15,0
Female,0,No,Yes,41,Yes,No,One year,Yes,Credit card (automatic),20.25,865,0
Female,0,No,No,2,Yes,Fiber optic,Month-to-month,Yes,Electronic check,90.4,168.2,1
Female,0,No,No,23,No,DSL,Month-to-month,Yes,Electronic check,44.95,996.85,0
Female,1,No,No,21,No,DSL,Month-to-month,Yes,Electronic check,41.9,840.1,1
Female,0,No,No,10,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),80.25,846,1
Male,0,No,Yes,5,Yes,No,Month-to-month,No,Mailed check,20.2,83.75,0
Female,0,No,No,41,Yes,Fiber optic,Two year,Yes,Bank transfer (automatic),98.8,3959.15,0
Female,0,No,No,47,Yes,No,Two year,Yes,Mailed check,20.55,945.7,0
Male,0,No,No,18,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),75.9,1373.05,0
Male,0,No,No,5,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),96.5,492.55,1
Male,0,Yes,No,23,Yes,DSL,Month-to-month,Yes,Bank transfer (automatic),59.95,1406,0
Male,0,Yes,No,71,Yes,Fiber optic,One year,Yes,Credit card (automatic),98.65,6962.85,0
Male,0,Yes,Yes,72,Yes,Fiber optic,Two year,Yes,Credit card (automatic),112.6,8126.65,0
Male,0,No,Yes,24,No,DSL,Two year,No,Mailed check,35.75,830.8,0
Male,0,No,No,37,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),96.1,3646.8,0
Male,0,No,No,1,No,DSL,Month-to-month,No,Mailed check,25.35,25.35,0
Female,0,Yes,No,25,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),104.95,2566.5,1
Male,0,No,No,17,Yes,Fiber optic,One year,No,Electronic check,86.75,1410.25,0
Female,0,Yes,No,41,Yes,Fiber optic,One year,Yes,Bank transfer (automatic),86.2,3339.05,0
Male,0,No,No,1,Yes,DSL,Month-to-month,No,Mailed check,50.65,50.65,1
Male,1,Yes,Yes,72,No,DSL,Two year,Yes,Bank transfer (automatic),64.8,4732.35,0
Female,0,No,No,42,No,DSL,One year,Yes,Electronic check,54.75,2348.45,0
Female,0,No,No,27,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),95.6,2595.25,0
Female,0,No,No,19,Yes,No,Month-to-month,No,Mailed check,19.9,367.55,0
Female,0,No,No,66,Yes,DSL,Two year,Yes,Credit card (automatic),90.05,5965.95,0
Male,1,Yes,No,33,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),109.9,3694.7,0
Female,0,No,No,34,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),73.95,2524.45,1
Male,1,No,No,33,No,DSL,Month-to-month,Yes,Electronic check,54.6,1803.7,0
Female,0,No,No,32,Yes,No,One year,No,Bank transfer (automatic),19.75,624.15,0
Male,0,Yes,Yes,69,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),99.45,7007.6,1
Female,0,Yes,No,68,Yes,DSL,One year,No,Bank transfer (automatic),55.9,3848.8,0
Male,0,No,No,72,Yes,No,Two year,Yes,Credit card (automatic),19.8,1468.75,0
Male,1,Yes,Yes,32,Yes,Fiber optic,Month-to-month,Yes,Mailed check,93.95,2861.45,0
Female,0,No,No,1,Yes,No,Month-to-month,Yes,Mailed check,19.9,19.9,1
Male,1,No,No,3,Yes,Fiber optic,Month-to-month,Yes,Electronic check,81.35,233.7,1
Female,0,Yes,No,29,Yes,Fiber optic,Month-to-month,Yes,Electronic check,74.95,2149.05,0
Male,0,No,No,51,Yes,Fiber optic,Month-to-month,Yes,Electronic check,87.35,4473,0
Female,1,Yes,No,48,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),70.65,3545.05,0
Female,0,Yes,Yes,16,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),73.25,1195.75,0
Female,0,Yes,Yes,22,Yes,Fiber optic,Month-to-month,No,Electronic check,83.3,1845.9,1
Female,1,No,No,1,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),75.3,75.3,1
Female,0,Yes,Yes,5,Yes,No,Month-to-month,Yes,Mailed check,24.3,132.25,0
Male,0,Yes,Yes,44,Yes,No,One year,No,Mailed check,25.7,1110.5,0
Male,1,Yes,No,52,Yes,Fiber optic,One year,Yes,Bank transfer (automatic),105.1,5376.4,0
Female,0,Yes,Yes,10,Yes,Fiber optic,Month-to-month,No,Electronic check,85.95,858.6,0
Male,0,No,No,18,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),75.6,1395.05,0
Female,0,Yes,No,68,Yes,DSL,One year,No,Bank transfer (automatic),58.25,3975.7,0
Female,0,Yes,Yes,61,Yes,No,Month-to-month,Yes,Mailed check,19.4,1182.55,1
Female,0,No,No,26,No,DSL,Month-to-month,Yes,Credit card (automatic),44.45,1183.8,0
Male,0,Yes,No,36,Yes,No,One year,No,Bank transfer (automatic),20.85,720.05,0
Male,0,Yes,Yes,72,Yes,Fiber optic,Two year,Yes,Credit card (automatic),114.05,8468.2,0
Male,0,No,No,1,Yes,DSL,Month-to-month,No,Mailed check,55.05,55.05,0
Female,0,Yes,Yes,16,Yes,Fiber optic,Month-to-month,Yes,Electronic check,112.95,1882.55,0
Female,0,No,No,1,Yes,Fiber optic,Month-to-month,No,Mailed check,69.55,69.55,1
Male,0,Yes,Yes,72,Yes,Fiber optic,Two year,No,Bank transfer (automatic),105.5,7611.55,0
Female,0,No,No,64,Yes,No,One year,No,Mailed check,24.7,1642.75,0
Female,0,Yes,Yes,28,Yes,Fiber optic,Month-to-month,Yes,Electronic check,81.05,2227.1,1
Female,0,Yes,No,61,Yes,No,Two year,No,Mailed check,24.4,1417.9,0
Male,0,Yes,No,2,Yes,No,Month-to-month,No,Mailed check,20,38,0
Male,0,No,Yes,6,Yes,No,Month-to-month,No,Mailed check,19.65,100.9,0
Male,0,Yes,Yes,4,Yes,Fiber optic,Month-to-month,No,Electronic check,101.15,385.9,1
Male,0,No,No,7,Yes,Fiber optic,Month-to-month,Yes,Electronic check,99.8,673.25,1
Male,1,Yes,No,72,Yes,Fiber optic,Two year,Yes,Bank transfer (automatic),116.05,8404.9,0
Male,0,No,No,70,No,DSL,Two year,Yes,Mailed check,40.05,2799.75,0
Male,0,Yes,Yes,72,Yes,Fiber optic,One year,Yes,Electronic check,89.7,6588.95,0
Female,0,No,Yes,44,Yes,No,Two year,No,Mailed check,19.9,868.1,0
Female,1,No,No,17,Yes,No,One year,No,Mailed check,20.65,330.6,0
Male,0,No,No,1,Yes,DSL,Month-to-month,Yes,Electronic check,55,55,1
Male,0,Yes,No,9,Yes,DSL,Month-to-month,Yes,Mailed check,70.05,564.4,0
Female,0,Yes,Yes,1,Yes,Fiber optic,Month-to-month,Yes,Electronic check,74.7,74.7,1
Male,1,Yes,Yes,35,Yes,DSL,Month-to-month,Yes,Electronic check,76.05,2747.2,0
Female,0,No,Yes,15,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),69,994.8,1
Male,0,Yes,Yes,11,Yes,No,Two year,No,Mailed check,19.65,225.75,0
Female,1,No,No,20,Yes,Fiber optic,Month-to-month,Yes,Electronic check,81.45,1671.6,0
Male,0,Yes,Yes,72,Yes,Fiber optic,Two year,Yes,Credit card (automatic),84.5,6130.85,0
Female,0,No,No,15,Yes,Fiber optic,Month-to-month,Yes,Electronic check,100.15,1415,0
Male,0,No,Yes,1,Yes,Fiber optic,Month-to-month,Yes,Electronic check,74.35,74.35,1
Male,0,Yes,Yes,63,Yes,Fiber optic,Two year,Yes,Bank transfer (automatic),104.8,6597.25,0
Female,0,No,No,2,Yes,DSL,Month-to-month,Yes,Electronic check,59,114.15,0
Male,0,No,No,1,Yes,No,Month-to-month,No,Mailed check,20.4,20.4,0
Female,1,No,No,5,No,DSL,Month-to-month,No,Electronic check,28.45,131.05,1
Female,0,No,No,12,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),99.7,1238.45,1
Male,0,No,No,34,Yes,Fiber optic,One year,No,Credit card (automatic),116.25,3899.05,0
Female,1,Yes,No,71,Yes,Fiber optic,Two year,Yes,Credit card (automatic),80.7,5676,0
Female,0,Yes,Yes,70,Yes,DSL,One year,No,Bank transfer (automatic),65.2,4543.15,0
Male,0,Yes,No,2,Yes,Fiber optic,Month-to-month,Yes,Electronic check,94.2,167.5,1
Female,0,No,No,1,Yes,No,Month-to-month,No,Mailed check,19.85,19.85,0
Male,1,Yes,Yes,20,Yes,Fiber optic,One year,No,Credit card (automatic),94.3,1818.3,0
Male,0,No,No,40,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),104.8,4131.95,1
Female,0,No,No,28,Yes,DSL,One year,No,Mailed check,54.3,1546.3,0
Female,1,Yes,No,5,Yes,Fiber optic,Month-to-month,No,Electronic check,70.05,302.6,0
Female,1,Yes,No,27,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),75.2,1929.35,1
Male,0,No,No,12,Yes,No,Month-to-month,No,Credit card (automatic),20.05,265.45,0
Male,1,Yes,No,29,Yes,DSL,Month-to-month,Yes,Electronic check,51.6,1442,0
Male,0,Yes,Yes,55,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),85.5,4713.4,0
Female,0,No,No,23,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),75.6,1758.6,1
Male,0,No,No,52,Yes,Fiber optic,One year,No,Electronic check,91.25,4738.3,0
Male,1,Yes,Yes,72,Yes,Fiber optic,Two year,Yes,Credit card (automatic),115.75,8399.15,0
Male,0,Yes,Yes,58,Yes,Fiber optic,One year,Yes,Credit card (automatic),94.7,5430.35,0
Male,0,Yes,Yes,35,Yes,No,Two year,No,Mailed check,19.6,686.95,0
Female,0,Yes,Yes,24,Yes,No,Two year,Yes,Credit card (automatic),21.1,490.65,0
Male,0,Yes,Yes,70,Yes,No,Two year,No,Credit card (automatic),20.05,1360.25,0
Male,1,Yes,Yes,68,Yes,Fiber optic,One year,Yes,Credit card (automatic),107.15,7379.8,0
Male,0,No,No,12,Yes,Fiber optic,Month-to-month,Yes,Electronic check,89.55,1021.75,0
Female,0,Yes,No,69,Yes,Fiber optic,One year,Yes,Credit card (automatic),95.65,6744.2,0
Female,0,No,No,11,Yes,DSL,Month-to-month,Yes,Mailed check,58.95,601.6,0
Female,0,No,No,1,Yes,No,Month-to-month,No,Mailed check,19.55,19.55,0
Male,0,Yes,Yes,34,Yes,Fiber optic,One year,Yes,Bank transfer (automatic),78.95,2647.2,0
